Text,Label
A clown emoji isn't enough. You need the whole circus. [Tweet ID: 948671],Dissing
Did you really think that was a flex? LMAO. (9337),Dissing
You're the final boss of cringe. (1214),Dissing
Ratio incoming 💀 [Tweet ID: 391344],Dissing
Is that the best roast you got? [Instagram] 8868,Flaming/Trolling
Your comment gave me brain damage. [Instagram] 6435,Flaming/Trolling
Go cry somewhere else. Meet defense current price north suggest itself head section she wear.,Harassment
This is the worst thing I've ever seen. [Facebook] 2992,Harassment
Is that the best roast you got? [Discord] 5857,Flaming/Trolling
You argue like it's your full-time job—and you're still bad at it. (3077),Dissing
Come back when you have a real argument. [Facebook] 4122,Flaming/Trolling
Please stop tweeting. Current blood almost think them produce.,Harassment
How do you have any followers? [Instagram] 4742,Harassment
Your comment gave me brain damage. [Instagram] 9988,Flaming/Trolling
Your comment gave me brain damage. [Facebook] 4550,Flaming/Trolling
You sound like a dying animal. [Instagram] 7181,Harassment
You're proof that Wi-Fi shouldn't be free. (4900),Dissing
"Try harder next time, clown. [Facebook] 6492",Flaming/Trolling
"Is this satire or are you serious? Either way, yikes. [Tweet ID: 715616]",Dissing
Did you really think that was a flex? LMAO. (2991),Dissing
"Your voice is so annoying, shut up. [Facebook] 1903",Harassment
"Try harder next time, clown. [Facebook] 7554",Flaming/Trolling
"This is cringe, stop posting. [Instagram] 1847",Harassment
Literally nobody asked. Term day life interesting might.,Harassment
You sound like a dying animal. [Discord] 8189,Harassment
You're not going viral for the right reasons. 👎 [Post ID: IG89570],Dissing
"You're so dumb, how do people even watch you? [Facebook] 4712",Harassment
Even the algorithm gave up on you. 🚫 [Post ID: IG25104],Dissing
Why do you even try? You're pathetic. [Discord] 5849,Harassment
"Another day, another L from you. — Posted via Web [Comment ID: FB65376]",Dissing
"You're so dumb, how do people even watch you? [Instagram] 7385",Harassment
Your comment gave me brain damage. [Instagram] 6833,Flaming/Trolling
Twitter was a mistake because of tweets like this. [Tweet ID: 861759],Dissing
Did your cat walk on your keyboard? [Discord] 1873,Flaming/Trolling
Try harder next time... or maybe don't. — Posted via Android [Comment ID: FB37782],Dissing
Imagine thinking this was okay to post. [Tweet ID: 191859],Dissing
How do you have any followers? [Facebook] 8940,Harassment
Why do you even try? You're pathetic. [Instagram] 6017,Harassment
"This is cringe, stop posting. [Instagram] 9740",Harassment
Nobody cares about your opinion. [Discord] 8958,Harassment
"Honestly, Who even gave you the idea you could make content? 🤦 💯",Flaming/Trolling
You're the reason the internet is trash. [Instagram] 9178,Flaming/Trolling
"Your voice is so annoying, shut up. [Facebook] 8721",Harassment
How do you have any followers? [Discord] 6989,Harassment
Why do you even try? You're pathetic. [Instagram] 1219,Harassment
You sound like a dying animal. [Instagram] 6770,Harassment
Did your cat walk on your keyboard? [Facebook] 2516,Flaming/Trolling
Your content is the reason the mute button exists. — Posted via Web [Comment ID: FB20049],Dissing
This is a masterclass in how not to create content. — Posted via Android [Comment ID: FB12739],Dissing
Nobody cares about your opinion. [Facebook] 3618,Harassment
You're ugly and talentless. [Facebook] 9796,Harassment
You have no clue what you're talking about. Writer difference no ready have clearly oil without stand son.,Harassment
"Nice try, keyboard warrior. [Instagram] 3579",Flaming/Trolling
This tweet is why aliens won’t visit us. [Tweet ID: 386553],Dissing
You're out here posting like it's 2010. 😬 [Post ID: IG53257],Dissing
I can't believe I used data to read this. [Tweet ID: 756751],Dissing
How do you have any followers? [Instagram] 7121,Harassment
This is the worst thing I've ever seen. [Instagram] 8169,Harassment
Cringe level: influencer. 😑 [Post ID: IG55665],Dissing
You're ugly and talentless. [Discord] 8723,Harassment
Your aesthetic is just chaos and confusion. 😑 [Post ID: IG62890],Dissing
"You're so dumb, how do people even watch you? [Instagram] 6833",Harassment
Your comment gave me brain damage. [Discord] 1873,Flaming/Trolling
Is that the best roast you got? [Instagram] 2690,Flaming/Trolling
This is the worst thing I've seen today. — Posted via iPhone [Comment ID: FB43122],Dissing
Bold of you to tweet without a single good thought. — Posted via iPhone [Comment ID: FB96434],Dissing
Nobody cares about your opinion. [Discord] 8323,Harassment
"Keep crying, it's entertaining. [Discord] 8184",Flaming/Trolling
Did your cat walk on your keyboard? [Discord] 2792,Flaming/Trolling
You're ugly and talentless. [Facebook] 2889,Harassment
Please log off. [Tweet ID: 503366],Dissing
You're ugly and talentless. [Discord] 9793,Harassment
Your comment gave me brain damage. [Facebook] 6616,Flaming/Trolling
"You're so dumb, how do people even watch you? [Instagram] 2713",Harassment
"Your voice is so annoying, shut up. [Discord] 3368",Harassment
Congratulations on being wrong again. [Tweet ID: 756019],Dissing
You should be banned for this one. [Tweet ID: 708956],Dissing
You're the reason the internet is trash. [Facebook] 6381,Flaming/Trolling
You're ugly and talentless. [Discord] 1904,Harassment
You're ugly and talentless. [Facebook] 3176,Harassment
"Wow, Who even gave you the idea you could make content? 🙄 no cap",Flaming/Trolling
Why does this even exist? — Posted via iPhone [Comment ID: FB72835],Dissing
Is that the best roast you got? [Facebook] 2201,Flaming/Trolling
This belongs in a cringe compilation. — Posted via iPhone [Comment ID: FB52371],Dissing
You're the reason the internet is trash. [Discord] 3960,Flaming/Trolling
Nobody cares about your opinion. [Instagram] 3729,Harassment
You sound like a dying animal. [Discord] 4295,Harassment
"You're so dumb, how do people even watch you? [Facebook] 7981",Harassment
You just wasted everyone's time with this. — Posted via iPhone [Comment ID: FB17651],Dissing
Cringe level: maximum. [Comment ID: 1457],Dissing
You have no clue what you're talking about. Majority after old member personal quickly skill pay speech record success.,Harassment
"When talent was given out, you clearly overslept. — Posted via iPhone [Comment ID: FB87053]",Dissing
This is why I lost faith in humanity. — Posted via iPhone [Comment ID: FB12285],Dissing
Why does this even exist? [Comment ID: 1241],Dissing
"You're so dumb, how do people even watch you? [Instagram] 4349",Harassment
Why do you even try? You're pathetic. [Instagram] 6963,Harassment
Nobody wants to hear your pathetic opinion. Ten lawyer training hotel site financial cup.,Harassment
Block me if you're scared. Claim my down another receive painting TV.,Harassment
You sound like a dying animal. [Facebook] 9646,Harassment
You argue like it's your full-time job—and you're still bad at it. (2772),Dissing
"This is cringe, stop posting. [Instagram] 1007",Harassment
Your takes get worse every day. [Tweet ID: 857785],Dissing
Your comment gave me brain damage. [Instagram] 9157,Flaming/Trolling
This is what happens when bad ideas go unchecked. — Posted via iPhone [Comment ID: FB40506],Dissing
Your comment gave me brain damage. [Instagram] 6294,Flaming/Trolling
Did you really think that was a flex? LMAO. (6238),Dissing
This is the dumbest thing I've seen all day. Less office himself last hotel suffer meeting certain consumer against education will close behavior give.,Harassment
You're a joke. Rate election phone support produce travel concern.,Harassment
"This is cringe, stop posting. [Instagram] 9099",Harassment
This is what happens when bad ideas go unchecked. — Posted via iPhone [Comment ID: FB13048],Dissing
Please stop tweeting. Green staff woman material.,Harassment
"No one likes you, just quit already. [Discord] 9030",Harassment
You're the reason the internet is trash. [Facebook] 8765,Flaming/Trolling
Cringe level: influencer. 💀 [Post ID: IG29283],Dissing
I had secondhand embarrassment reading this. [Tweet ID: 680664],Dissing
You're ugly and talentless. [Facebook] 9282,Harassment
You just wasted everyone's time with this. — Posted via iPhone [Comment ID: FB52415],Dissing
This pic should’ve stayed in your drafts. 🚫 [Post ID: IG24615],Dissing
"Keep crying, it's entertaining. [Discord] 4816",Flaming/Trolling
"Your voice is so annoying, shut up. [Instagram] 7760",Harassment
Why do you even try? You're pathetic. [Instagram] 1841,Harassment
